,words,sentiments
372,loving,"['joy', 'positive', 'trust']"
373,fault,"['negative', 'sadness']"
374,luck,"['anticipation', 'joy', 'positive', 'surprise']"
375,older,['sadness']
376,jealous,"['anger', 'disgust', 'negative']"
377,infringement,['negative']
378,shortage,"['anger', 'fear', 'negative', 'sadness']"
379,donation,['positive']
380,dependence,"['fear', 'negative', 'sadness']"
381,pandemic,"['fear', 'negative', 'sadness']"
382,sudden,['surprise']
383,surge,['surprise']
384,leader,"['positive', 'trust']"
385,premier,['positive']
386,bloody,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
387,lost,"['negative', 'sadness']"
388,danger,"['fear', 'negative', 'sadness']"
389,humanity,"['joy', 'positive', 'trust']"
390,exchange,"['positive', 'trust']"
391,rest,['positive']
392,friend,"['joy', 'positive', 'trust']"
393,tough,"['negative', 'sadness']"
394,benefit,['positive']
395,university,"['anticipation', 'positive']"
396,establish,['trust']
397,weigh,"['anticipation', 'trust']"
398,fellow,"['positive', 'trust']"
399,abuse,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
400,boast,"['negative', 'positive']"
401,controversy,['negative']
402,mystery,"['anticipation', 'surprise']"
403,fact,['trust']
404,extra,['positive']
405,series,['trust']
406,improve,"['anticipation', 'joy', 'positive', 'trust']"
407,efficiency,['positive']
408,received,['positive']
409,gift,"['anticipation', 'joy', 'positive', 'surprise']"
410,beautiful,"['joy', 'positive']"
411,affiliated,['positive']
412,persecute,"['anger', 'fear', 'negative']"
413,forced,"['fear', 'negative']"
414,personal,['trust']
415,march,['positive']
416,battery,"['anger', 'negative']"
417,contact,['positive']
418,missing,"['fear', 'negative', 'sadness']"
419,providing,"['anticipation', 'joy', 'positive', 'trust']"
420,informer,['negative']
421,truth,"['positive', 'trust']"
422,assurance,"['positive', 'trust']"
423,worry,"['anticipation', 'fear', 'negative', 'sadness']"
424,pleased,"['joy', 'positive']"
425,cooperation,"['positive', 'trust']"
426,league,['positive']
427,protect,['positive']
428,designer,['positive']
429,cute,['positive']
430,scientist,"['anticipation', 'positive', 'trust']"
431,pretend,['negative']
432,credit,"['positive', 'trust']"
433,worse,"['fear', 'negative', 'sadness']"
434,celebrity,"['anger', 'anticipation', 'disgust', 'joy', 'negative', 'positive', 'surprise', 'trust']"
435,mentor,"['positive', 'trust']"
436,deteriorated,"['disgust', 'negative', 'sadness']"
437,shape,['positive']
438,trainer,['trust']
439,start,['anticipation']
440,real,"['positive', 'trust']"
441,revolution,"['anger', 'anticipation', 'fear', 'negative', 'positive', 'sadness', 'surprise']"
442,cabinet,"['positive', 'trust']"
443,blue,['sadness']
444,bargain,"['positive', 'trust']"
445,hurting,"['anger', 'fear', 'negative', 'sadness']"
446,worth,['positive']
447,announcement,['anticipation']
448,gold,['positive']
449,sponsor,"['positive', 'trust']"
450,celebration,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
451,equality,"['joy', 'positive', 'trust']"
452,general,"['positive', 'trust']"
453,fairly,"['positive', 'trust']"
454,acceptable,['positive']
455,understanding,"['positive', 'trust']"
